,spotify_id,name,followers,popularity,genres,chart_hits
378,4KJ6jujcNPzOyhdNoiNftp,lovelytheband,360970.0,61,"['indie poptimism', 'modern alternative rock', 'modern rock']","['us (1)', 'ca (1)', 'ee (1)', 'lv (1)', 'lt (1)', 'mt (1)', 'nz (1)', 'sk (1)', 'tw (1)']"
391,2h93pZq0e7k5yf4dywlkpM,Frank Ocean,9951370.0,83,"['hip hop', 'lgbtq+ hip hop', 'neo soul', 'pop']","['us (17)', 'gb (10)', 'au (15)', 'at (1)', 'be (3)', 'bg (4)', 'ca (14)', 'cy (1)', 'dk (13)', 'ee (7)', 'fi (1)', 'fr (1)', 'de (1)', 'gr (2)', 'hk (1)', 'hu (1)', 'is (20)', 'id (1)', 'ie (8)', 'lv (5)', 'lt (8)', 'lu (2)', 'mt (1)', 'nl (1)', 'nz (14)', 'no (7)', 'pl (1)', 'pt (6)', 'ro (1)', 'sa (1)', 'sg (2)', 'sk (3)', 'za (4)', 'se (6)', 'ch (3)', 'ae (2)']"
460,0AsThoR4KZSVktALiNcQwW,Chloe x Halle,1857184.0,60,"['alternative r&b', 'dance pop', 'pop', 'post-teen pop', 'r&b', 'rap', 'urban contemporary']","['us (1)', 'my (1)', 'nz (1)', 'za (2)']"
466,6vWDO969PvNqNYHIOW5v0m,Beyoncé,32087569.0,88,"['dance pop', 'pop', 'r&b']","['us (31)', 'gb (34)', 'ar (2)', 'au (27)', 'at (5)', 'be (25)', 'bo (1)', 'br (32)', 'bg (17)', 'ca (25)', 'cl (2)', 'co (2)', 'cr (3)', 'cy (14)', 'cz (6)', 'dk (13)', 'do (7)', 'ec (2)', 'eg (1)', 'sv (2)', 'ee (16)', 'fi (7)', 'fr (13)', 'de (6)', 'gr (9)', 'gt (2)', 'hn (2)', 'hk (7)', 'hu (9)', 'is (35)', 'in (1)', 'id (2)', 'ie (37)', 'il (10)', 'it (4)', 'lv (13)', 'lt (19)', 'lu (15)', 'my (7)', 'mt (9)', 'mx (2)', 'ma (2)', 'nl (23)', 'nz (24)', 'ni (1)', 'no (16)', 'pa (5)', 'py (2)', 'pe (2)', 'ph (10)', 'pl (11)', 'pt (24)', 'ro (5)', 'sa (2)', 'sg (10)', 'sk (8)', 'za (26)', 'kr (5)', 'es (4)', 'se (17)', 'ch (13)', 'tw (11)', 'th (2)', 'tr (6)', 'ae (13)', 'uy (2)', 'vn (2)']"
475,3KNIG74xSTc3dj0TRy7pGX,BLEU,1159612.0,67,"['alabama rap', 'pop rap', 'r&b', 'rap', 'trap']","['us (1)', 'gb (1)', 'ca (1)', 'za (1)']"
478,581C5Qwl87TskfBEzuoisu,Cafuné,104061.0,69,['brooklyn indie'],"['us (1)', 'id (1)', 'sa (1)', 'sg (1)', 'ae (1)']"
480,0huGjMyP507tBCARyzSkrv,Cordae,1803987.0,68,"['dmv rap', 'hip hop', 'rap', 'trap', 'underground hip hop']","['us (5)', 'au (1)', 'ca (3)', 'ie (1)', 'lu (1)', 'nz (1)', 'no (1)', 'za (2)']"
502,3Mcii5XWf6E0lrY3Uky4cA,Ice Cube,6028684.0,74,"['conscious hip hop', 'g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']","['us (1)', 'ca (1)', 'ee (1)', 'fi (1)', 'is (2)', 'lv (1)', 'lt (1)', 'nz (1)', 'sa (2)']"
514,45gHcnDnMC15sgx3VL7ROG,42 Dugg,710893.0,74,"['detroit trap', 'rap', 'southern hip hop', 'trap']","['us (2)', 'ca (1)']"
531,5CCwRZC6euC8Odo6y9X8jr,Rita Ora,7592797.0,73,"['dance pop', 'edm', 'electropop', 'pop', 'pop rap', 'post-teen pop', 'tropical house', 'uk pop']","['us (6)', 'gb (9)', 'au (8)', 'at (8)', 'be (7)', 'bo (2)', 'br (5)', 'bg (9)', 'ca (8)', 'co (1)', 'cy (5)', 'cz (8)', 'dk (7)', 'do (1)', 'sv (1)', 'ee (11)', 'fi (9)', 'fr (6)', 'de (9)', 'gr (8)', 'gt (3)', 'hn (1)', 'hk (8)', 'hu (11)', 'is (7)', 'in (2)', 'id (4)', 'ie (9)', 'il (3)', 'it (6)', 'jp (4)', 'lv (9)', 'lt (11)', 'lu (7)', 'my (8)', 'mt (8)', 'mx (2)', 'nl (7)', 'nz (7)', 'no (9)', 'pa (3)', 'py (1)', 'ph (8)', 'pl (7)', 'pt (7)', 'ro (4)', 'ru (1)', 'sg (8)', 'sk (9)', 'za (1)', 'es (4)', 'se (6)', 'ch (9)', 'tw (11)', 'th (5)', 'tr (6)', 'ua (1)', 'ae (1)', 'uy (2)', 'vn (3)']"
