Source,Target,Type,Id,Label,Weight
879,226,Undirected,23459,,1
948,14,Undirected,23460,,1
605,602,Undirected,23461,,1
2558,46,Undirected,23462,,1
274,265,Undirected,23463,,1
1864,365,Undirected,23464,,1
2288,487,Undirected,23465,,1
546,175,Undirected,23466,,1
794,191,Undirected,23467,,1
429,360,Undirected,23468,,1
436,377,Undirected,23469,,1
608,175,Undirected,23470,,1
982,859,Undirected,23471,,1
964,366,Undirected,23472,,1
701,543,Undirected,23473,,1
748,702,Undirected,23474,,1
588,8,Undirected,23475,,1
310,33,Undirected,23476,,1
869,741,Undirected,23477,,1
747,191,Undirected,23478,,1
844,216,Undirected,23479,,1
797,583,Undirected,23480,,1
659,19,Undirected,23481,,1
668,616,Undirected,23482,,1
1832,260,Undirected,23483,,1
683,271,Undirected,23484,,1
396,307,Undirected,23485,,1
753,360,Undirected,23486,,1
2880,568,Undirected,23487,,1
2548,91,Undirected,23488,,1
643,638,Undirected,23489,,1
801,159,Undirected,23490,,1
607,122,Undirected,23491,,1
331,305,Undirected,23492,,1
671,661,Undirected,23493,,1
499,344,Undirected,23494,,1
2995,737,Undirected,23495,,1
2578,744,Undirected,23496,,1
638,583,Undirected,23497,,1
729,5,Undirected,23498,,1
879,108,Undirected,23499,,1
2799,486,Undirected,23500,,1
789,401,Undirected,23501,,1
865,136,Undirected,23502,,1
2236,718,Undirected,23503,,1
923,470,Undirected,23504,,1
296,118,Undirected,23505,,1
923,748,Undirected,23506,,1
816,741,Undirected,23507,,1
638,19,Undirected,23508,,1
637,87,Undirected,23509,,1
747,436,Undirected,23510,,1
1856,365,Undirected,23511,,1
401,94,Undirected,23512,,1
675,198,Undirected,23513,,1
891,459,Undirected,23514,,1
732,485,Undirected,23515,,1
2474,378,Undirected,23516,,1
975,343,Undirected,23517,,1
921,191,Undirected,23518,,1
754,590,Undirected,23519,,1
356,191,Undirected,23520,,1
406,378,Undirected,23521,,1
2021,722,Undirected,23522,,1
312,94,Undirected,23523,,1
327,132,Undirected,23524,,1
1369,173,Undirected,23525,,1
2593,48,Undirected,23526,,1
673,658,Undirected,23527,,1
1896,597,Undirected,23528,,1
1907,639,Undirected,23529,,1
1589,140,Undirected,23530,,1
2520,638,Undirected,23531,,1
312,283,Undirected,23532,,1
915,859,Undirected,23533,,1
718,198,Undirected,23534,,1
436,187,Undirected,23535,,1
845,600,Undirected,23536,,1
2272,502,Undirected,23537,,1
605,502,Undirected,23538,,1
2593,787,Undirected,23539,,1
1111,589,Undirected,23540,,1
767,53,Undirected,23541,,1
640,97,Undirected,23542,,1
767,215,Undirected,23543,,1
784,655,Undirected,23544,,1
932,770,Undirected,23545,,1
589,122,Undirected,23546,,1
686,372,Undirected,23547,,1
2992,494,Undirected,23548,,1
168,33,Undirected,23549,,1
502,372,Undirected,23550,,1
1974,669,Undirected,23551,,1
